IncidentId,UnitNumber,Factor_Type,Factor,
31629524,2,ENVIRON FACTOR,99,
31629600,1,ENVIRON FACTOR,02,
31630358,2,ENVIRON FACTOR,17,
31630358,2,ENVIRON FACTOR,02,
31630689,1,ENVIRON FACTOR,02,
31630689,2,ENVIRON FACTOR,02,
31632269,1,ENVIRON FACTOR,02,
31632269,2,ENVIRON FACTOR,02,
31632570,1,ENVIRON FACTOR,02,
31632570,2,ENVIRON FACTOR,02,
31635161,1,ENVIRON FACTOR,17,
31635161,1,ENVIRON FACTOR,02,
31635161,2,ENVIRON FACTOR,17,
31635161,2,ENVIRON FACTOR,02,
31635247,1,ENVIRON FACTOR,02,
31635791,1,ENVIRON FACTOR,02,
31635791,1,ENVIRON FACTOR,10,
31636107,1,ENVIRON FACTOR,02,
31636107,2,ENVIRON FACTOR,02,
31636547,1,ENVIRON FACTOR,02,
31636547,2,ENVIRON FACTOR,02,
31636750,1,ENVIRON FACTOR,02,
31636750,2,ENVIRON FACTOR,99,
31637686,1,ENVIRON FACTOR,02,
31637686,2,ENVIRON FACTOR,02,
31641097,1,ENVIRON FACTOR,02,
31641097,1,ENVIRON FACTOR,03,
31641486,1,ENVIRON FACTOR,02,
31641486,2,ENVIRON FACTOR,02,
31644933,1,ENVIRON FACTOR,02,
31644933,2,ENVIRON FACTOR,02,
31646435,1,ENVIRON FACTOR,02,
31646435,2,ENVIRON FACTOR,02,
31648200,1,ENVIRON FACTOR,02,
31648200,2,ENVIRON FACTOR,99,
31648500,1,ENVIRON FACTOR,17,
31648500,1,ENVIRON FACTOR,02,
31648500,2,ENVIRON FACTOR,02,
31648500,3,ENVIRON FACTOR,02,
31648500,4,ENVIRON FACTOR,02,
31648500,5,ENVIRON FACTOR,02,
31650181,1,ENVIRON FACTOR,02,
31650181,2,ENVIRON FACTOR,02,
31653350,1,ENVIRON FACTOR,02,
31653350,2,ENVIRON FACTOR,02,
31658420,1,ENVIRON FACTOR,02,
31658420,2,ENVIRON FACTOR,02,
31658423,1,ENVIRON FACTOR,02,
31658423,2,ENVIRON FACTOR,02,
31659552,1,ENVIRON FACTOR,17,
31659552,1,ENVIRON FACTOR,02,
31659552,2,ENVIRON FACTOR,17,
31659552,2,ENVIRON FACTOR,02,
31659552,3,ENVIRON FACTOR,17,
31659552,3,ENVIRON FACTOR,02,
31659610,1,ENVIRON FACTOR,17,
31659610,1,ENVIRON FACTOR,02,
31659610,2,ENVIRON FACTOR,17,
31659610,2,ENVIRON FACTOR,02,
31659610,3,ENVIRON FACTOR,17,
31659610,3,ENVIRON FACTOR,02,
31659652,1,ENVIRON FACTOR,02,
31659652,2,ENVIRON FACTOR,02,
31659663,1,ENVIRON FACTOR,02,
31659663,2,ENVIRON FACTOR,02,
31659695,1,ENVIRON FACTOR,02,
31659695,2,ENVIRON FACTOR,99,
31660567,1,ENVIRON FACTOR,02,
31660567,2,ENVIRON FACTOR,99,
31665930,1,ENVIRON FACTOR,02,
31665930,2,ENVIRON FACTOR,02,
31665967,1,ENVIRON FACTOR,02,
31665967,2,ENVIRON FACTOR,02,
31667886,1,ENVIRON FACTOR,02,
31667886,2,ENVIRON FACTOR,99,
31670443,1,ENVIRON FACTOR,17,
31670443,1,ENVIRON FACTOR,02,
31670443,2,ENVIRON FACTOR,17,
31670443,2,ENVIRON FACTOR,02,
31671343,1,ENVIRON FACTOR,02,
31671343,2,ENVIRON FACTOR,02,
31672191,1,ENVIRON FACTOR,02,
31672191,1,ENVIRON FACTOR,13,
31673598,1,ENVIRON FACTOR,02,
31675646,1,ENVIRON FACTOR,02,
31675646,2,ENVIRON FACTOR,02,
31679182,1,ENVIRON FACTOR,02,
31679182,2,ENVIRON FACTOR,99,
31681024,1,ENVIRON FACTOR,17,
31681024,1,ENVIRON FACTOR,02,
31681024,2,ENVIRON FACTOR,17,
31681024,2,ENVIRON FACTOR,02,
31681024,3,ENVIRON FACTOR,17,
31681024,3,ENVIRON FACTOR,02,
31681024,4,ENVIRON FACTOR,17,
31681024,4,ENVIRON FACTOR,02,
31681024,5,ENVIRON FACTOR,17,
31681024,5,ENVIRON FACTOR,02,
31681165,1,ENVIRON FACTOR,02,
31681165,2,ENVIRON FACTOR,99,
31685074,1,ENVIRON FACTOR,02,
31685074,2,ENVIRON FACTOR,02,
31690705,1,ENVIRON FACTOR,02,
31690705,2,ENVIRON FACTOR,02,
31692373,1,ENVIRON FACTOR,17,
31692373,1,ENVIRON FACTOR,02,
31692373,2,ENVIRON FACTOR,17,
31692373,2,ENVIRON FACTOR,02,
31692926,1,ENVIRON FACTOR,02,
31692926,2,ENVIRON FACTOR,99,
31692958,1,ENVIRON FACTOR,17,
31692958,1,ENVIRON FACTOR,02,
31692958,2,ENVIRON FACTOR,17,
31692958,2,ENVIRON FACTOR,02,
31695339,1,ENVIRON FACTOR,17,
31695339,1,ENVIRON FACTOR,02,
31695339,2,ENVIRON FACTOR,17,
31695339,2,ENVIRON FACTOR,02,
31695549,1,ENVIRON FACTOR,02,
31695549,2,ENVIRON FACTOR,02,
31696026,1,ENVIRON FACTOR,02,
31696026,1,ENVIRON FACTOR,03,
31698361,1,ENVIRON FACTOR,02,
31698361,1,ENVIRON FACTOR,03,
31701533,1,ENVIRON FACTOR,02,
31701533,2,ENVIRON FACTOR,02,
31701999,1,ENVIRON FACTOR,02,
31701999,2,ENVIRON FACTOR,99,
31702022,1,ENVIRON FACTOR,02,
31702022,2,ENVIRON FACTOR,02,
31707364,1,ENVIRON FACTOR,02,
31707364,2,ENVIRON FACTOR,02,
31707396,1,ENVIRON FACTOR,02,
31707396,2,ENVIRON FACTOR,02,
31707396,2,ENVIRON FACTOR,97,
31707549,1,ENVIRON FACTOR,02,
31707549,2,ENVIRON FACTOR,99,
31709606,1,ENVIRON FACTOR,02,
31709606,2,ENVIRON FACTOR,02,
31711642,1,ENVIRON FACTOR,02,
31711642,2,ENVIRON FACTOR,99,
31713340,1,ENVIRON FACTOR,02,
31713340,2,ENVIRON FACTOR,02,
31714232,1,ENVIRON FACTOR,17,
31714232,1,ENVIRON FACTOR,02,
31714232,2,ENVIRON FACTOR,17,
31714232,2,ENVIRON FACTOR,02,
31716255,1,ENVIRON FACTOR,02,
31716255,2,ENVIRON FACTOR,02,
31716255,3,ENVIRON FACTOR,09,
31716255,3,ENVIRON FACTOR,16,
31721315,1,ENVIRON FACTOR,09,
31721315,2,ENVIRON FACTOR,02,
31721315,2,ENVIRON FACTOR,09,
31721315,3,ENVIRON FACTOR,02,
31723930,1,ENVIRON FACTOR,02,
31724706,1,ENVIRON FACTOR,02,
31724706,2,ENVIRON FACTOR,02,
31728454,1,ENVIRON FACTOR,02,
31728454,2,ENVIRON FACTOR,02,
31730145,1,ENVIRON FACTOR,02,
31730145,2,ENVIRON FACTOR,02,
31731081,1,ENVIRON FACTOR,02,
31731311,1,ENVIRON FACTOR,02,
31731311,2,ENVIRON FACTOR,02,
31735695,1,ENVIRON FACTOR,02,
