IncidentId,UnitNumber,PersonNo,AirBagNo,AirBag,
30065345,2,2,1,INSTALLED/NOT DEPLOYED,
30065571,1,1,1,INSTALLED/NOT DEPLOYED,
30065571,2,2,1,INSTALLED/NOT DEPLOYED,
30067702,1,1,1,DEPLOYED-COMBINATION,
30067702,2,2,1,NOT INSTALLED,
30069227,1,1,1,INSTALLED/NOT DEPLOYED,
30069227,1,2,1,INSTALLED/NOT DEPLOYED,
30069227,2,4,1,INSTALLED/NOT DEPLOYED,
30069229,1,1,1,NOT INSTALLED,
30069229,2,3,1,INSTALLED/NOT DEPLOYED,
30069229,3,5,1,INSTALLED/NOT DEPLOYED,
30069229,3,6,1,INSTALLED/NOT DEPLOYED,
